,User,Tweet
0,elonmusk,Twitter is All the News
1,elonmusk,Sìì! https://t.co/Gj1wHytJxk
2,elonmusk,Recent trend is promising https://t.co/0q7UdxSkbM
3,elonmusk,"Btw, I’d like to apologize for Twitter being super slow in many countries. App is doing &gt;1000 poorly batched RPCs just to render a home timeline!"
4,elonmusk,"Rolling out soon, Twitter will enable organizations to identify which other Twitter accounts are actually associated with them"
5,elonmusk,Twitter feels increasingly alive
6,elonmusk,Order at https://t.co/Q1VvqV5G0i! https://t.co/Ehca6KRk3v
7,elonmusk,🪦🤖
8,elonmusk,Twitter is
9,elonmusk,FTX meltdown/ransack being tracked in real-time on Twitter
10,elonmusk,"As Twitter pursues the goal of elevating citizen journalism, media elite will try everything to stop that from happening"
11,elonmusk,Twitter HQ is great (this is a real pic) https://t.co/EiAXAF0CaE https://t.co/qjfOQCr533
12,elonmusk,Quite the day!
13,elonmusk,"Going forward, accounts engaged in parody must include “parody” in their name, not just in bio"
14,elonmusk,Usage of Twitter continues to rise. One thing is for sure: it isn’t boring!
15,elonmusk,I love when people complain about Twitter … on Twitter 🤣🤣
16,elonmusk,https://t.co/FxdcXa1I7i
17,elonmusk,Are you seeing far fewer bots/scams/spam?
18,elonmusk,"Please note that Twitter will do lots of dumb things in coming months. 

We will keep what works &amp; change what doesn’t."
19,elonmusk,Complaint hotline operator online! Please mention your complaints below.
20,elonmusk,"Twitter is the worst!
But also the best."
21,elonmusk,https://t.co/3t5ahItE5z
22,elonmusk,Twitter usage is at an all-time high lol
23,elonmusk,"To be clear, my historical party affiliation has been Independent, with an actual voting history of entirely Democrat until this year"
24,elonmusk,"To independent-minded voters:

Shared power curbs the worst excesses of both parties, therefore I recommend voting for a Republican Congress, given that the Presidency is Democratic."
25,elonmusk,How times have changed https://t.co/gCxUkZ4kZC
26,elonmusk,"Twitter rules will evolve over time, but they’re currently the following: https://t.co/Ut1tXuefso"
27,elonmusk,"My commitment to free speech extends even to not banning the account following my plane, even though that is a direct personal safety risk"
28,elonmusk,Twitter needs to become by far the most accurate source of information about the world. That’s our mission.
29,elonmusk,Widespread verification will democratize journalism &amp; empower the voice of the people
30,elonmusk,"Going forward, any Twitter handles engaging in impersonation without clearly specifying “parody” will be permanently suspended"
31,elonmusk,Search within Twitter reminds me of Infoseek in ‘98! That will also get a lot better pronto.
32,elonmusk,"Twitter will soon add ability to attach long-form text to tweets, ending absurdity of notepad screenshots"
33,elonmusk,This rocks https://t.co/sB1sL0Hdrv
34,elonmusk,https://t.co/4UQlClBSct
35,elonmusk,"Trash me all day, but it’ll cost $8"
36,elonmusk,⚡️⚡️⚡️ Power to the People ⚡️⚡️⚡️
37,elonmusk,"Regarding Twitter’s reduction in force, unfortunately there is no choice when the company is losing over $4M/day.

Everyone exited was offered 3 months of severance, which is 50% more than legally required."
38,elonmusk,"Again, to be crystal clear, Twitter’s strong commitment to content moderation remains absolutely unchanged.

In fact, we have actually seen hateful speech at times this week decline *below* our prior norms, contrary to what you may read in the press."
39,elonmusk,Excellent summary of Twitter’s Trust &amp; Safety from the head of the team https://t.co/sJ1MBf9Mub
40,elonmusk,"Twitter has had a massive drop in revenue, due to activist groups pressuring advertisers, even though nothing has changed with content moderation and we did everything we could to appease the activists.

Extremely messed up! They’re trying to destroy free speech in America."
41,elonmusk,Tiny talk is talk so small it feels like it’s coming from your own mind
42,elonmusk,Why is small talk even legal!?
43,elonmusk,A neuron doesn’t realize it’s a neuron
