,Date,User,Tweet
0,2022-11-28 10:59:40+00:00,elonmusk,https://t.co/r22bMdErLi
1,2022-11-28 10:09:22+00:00,elonmusk,https://t.co/KZ7jeME3AX
2,2022-11-28 09:48:26+00:00,elonmusk,My bedside table https://t.co/sIdRYJcLTK
3,2022-11-28 09:44:01+00:00,elonmusk,The amount of pro psy ops on Twitter is ridiculous! At least with new Verified they will pay $8 for the privilege haha.
4,2022-11-28 01:00:23+00:00,elonmusk,Twitter experienced slight degradation of service today from an old 3rd party tool used to block accounts that had no rate limit (sigh). Should be fixed now.
5,2022-11-27 19:00:41+00:00,elonmusk,"Just a note to encourage people of different political or other views to engage in civil debate on Twitter. 

Worst case, the other side has a slightly better understanding of your views."
6,2022-11-27 04:13:34+00:00,elonmusk,Slides from my Twitter company talk https://t.co/8LLXrwylta
7,2022-11-27 04:03:10+00:00,elonmusk,"Starry, starry night … https://t.co/IN3SeOH7f7"
8,2022-11-27 03:15:33+00:00,elonmusk,"Tesla team just completed a 500 mile drive with a Tesla Semi weighing in at 81,000 lbs!"
9,2022-11-26 21:44:45+00:00,elonmusk,Follow World Cup on Twitter for best real-time coverage! https://t.co/9IfFSHbjl3
10,2022-11-26 08:56:57+00:00,elonmusk,Simpson’s predicts I buy Twitter S26E12 https://t.co/yVmWGwrYY6
11,2022-11-25 09:26:55+00:00,elonmusk,What do you think of the culture war?
12,2022-11-25 01:42:19+00:00,elonmusk,Thanksgiving cuisine is such a delightful symphony of flavor!
13,2022-11-24 07:42:00+00:00,elonmusk,"You might notice small, sometimes major, improvements in speed of Twitter. Will be especially significant in countries far away from USA."
14,2022-11-24 07:34:46+00:00,elonmusk,"Tesla Full Self-Driving Beta is now available to anyone in North America who requests it from the car screen, assuming you have bought this option. 

Congrats to Tesla Autopilot/AI team on achieving a major milestone!"
15,2022-11-24 04:07:18+00:00,elonmusk,Hate speech impressions down by 1/3 from pre-spike levels. Congrats to Twitter team! https://t.co/5BWaQoIlip
16,2022-11-24 01:26:07+00:00,elonmusk,Have a great Thanksgiving! 🇺🇸♥️🇺🇸
17,2022-11-23 21:50:48+00:00,elonmusk,Awesome new Twitter merch! https://t.co/zqdL9xGRuR
18,2022-11-23 19:51:48+00:00,elonmusk,"World Cup traffic hit almost 20,000 tweets per second today! Great work by Twitter team managing record usage."
19,2022-11-23 17:46:29+00:00,elonmusk,"Should Twitter offer a general amnesty to suspended accounts, provided that they have not broken the law or engaged in egregious spam?"
20,2022-11-23 10:06:41+00:00,elonmusk,"More and more over time, as we hew closer to the truth, Twitter will earn the trust of the people"
21,2022-11-23 08:50:48+00:00,elonmusk,What is best in life?
22,2022-11-23 03:00:12+00:00,elonmusk,Found in closet at Twitter HQ fr 🤣🤣 https://t.co/3xSI3KvvHk
23,2022-11-23 00:07:54+00:00,elonmusk,Wasn’t Twitter supposed to die by now or something … ?
24,2022-11-22 07:54:03+00:00,elonmusk,"Wait, if I Tweet does that count as work?"
25,2022-11-22 01:31:08+00:00,elonmusk,The Tactics of Mistake
26,2022-11-22 01:28:00+00:00,elonmusk,"Twitter added 1.6M daily active users this past week, another all-time high https://t.co/Si3cRYnvyD"
27,2022-11-22 01:11:15+00:00,elonmusk,"Holding off relaunch of Blue Verified until there is high confidence of stopping impersonation. 

Will probably use different color check for organizations than individuals."
28,2022-11-21 23:29:28+00:00,elonmusk,Starlink now works for high latitudes https://t.co/Ngdh8CJbCJ
29,2022-11-21 23:02:29+00:00,elonmusk,Tesla Megapacks are highly effective in addressing electricity demand spikes that cause power outages https://t.co/V4n5c4ZvNH
30,2022-11-21 20:22:43+00:00,elonmusk,Experience: what you get when you didn’t get what you wanted - Igor
31,2022-11-21 19:22:25+00:00,elonmusk,Fanaticism is always a function of repressed doubt – Dune
32,2022-11-21 18:20:47+00:00,elonmusk,"Hope all judgy hall monitors stay on other platforms – please, I’m begging u"
33,2022-11-21 17:56:15+00:00,elonmusk,Twitter is fun 🚀 💫 ♥️
34,2022-11-21 01:55:54+00:00,elonmusk,Our love will never die https://t.co/y5SldfAAt0
35,2022-11-21 01:19:15+00:00,elonmusk,And lead us not into temptation … https://t.co/8qNOXzwXS9
36,2022-11-20 22:21:31+00:00,elonmusk,"World Cup Qatar 2022: Opening Ceremony
https://t.co/TjSSitY7fK"
37,2022-11-20 14:40:09+00:00,elonmusk,World Cup starts soon! Follow on Twitter for best coverage by far.
38,2022-11-20 04:50:20+00:00,elonmusk,Twitter is ALIVE
39,2022-11-20 00:53:25+00:00,elonmusk,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. https://t.co/jmkhFuyfkv"
40,2022-11-19 21:19:48+00:00,elonmusk,The most entertaining outcome is the most likely – my variant on Occam’s Razor
41,2022-11-19 13:23:21+00:00,elonmusk,Fascinating to watch Twitter Trump poll!
42,2022-11-19 09:37:51+00:00,elonmusk,Tesla FSD 10.69.3.1 going to wide release now
43,2022-11-19 09:28:36+00:00,elonmusk,Just leaving Twitter HQ code review https://t.co/pYcXRTJm14
44,2022-11-19 09:05:35+00:00,elonmusk,Trump poll getting ~1M votes/hour!
45,2022-11-19 00:47:45+00:00,elonmusk,Reinstate former President Trump
46,2022-11-18 22:07:39+00:00,elonmusk,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.
47,2022-11-18 18:31:47+00:00,elonmusk,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet."
48,2022-11-18 18:22:01+00:00,elonmusk,Freedom Fridays …
49,2022-11-18 17:38:07+00:00,elonmusk,What should Twitter do next?
50,2022-11-18 15:16:30+00:00,elonmusk,https://t.co/OjhQJvruTy
51,2022-11-18 06:40:12+00:00,elonmusk,https://t.co/JU073T756X
52,2022-11-18 04:23:16+00:00,elonmusk,https://t.co/rbwbsLA1ZG
53,2022-11-18 04:20:14+00:00,elonmusk,🏴‍☠️
54,2022-11-18 04:07:05+00:00,elonmusk,And … we just hit another all-time high in Twitter usage lol
55,2022-11-18 01:25:55+00:00,elonmusk,"How do you make a small fortune in social media?

Start out with a large one."
56,2022-11-17 15:26:13+00:00,elonmusk,Twitter is like open-sourcing the news
57,2022-11-17 08:35:22+00:00,elonmusk,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media
58,2022-11-15 23:18:02+00:00,elonmusk,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid
59,2022-11-15 20:40:54+00:00,elonmusk,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj
60,2022-11-15 09:19:19+00:00,elonmusk,Twitter is All the News
61,2022-11-14 20:32:17+00:00,elonmusk,Sìì! https://t.co/Gj1wHytJxk
62,2022-11-14 18:49:43+00:00,elonmusk,Recent trend is promising https://t.co/0q7UdxSkbM
63,2022-11-13 18:00:58+00:00,elonmusk,"Btw, I’d like to apologize for Twitter being super slow in many countries. App is doing &gt;1000 poorly batched RPCs just to render a home timeline!"
64,2022-11-13 17:52:01+00:00,elonmusk,"Rolling out soon, Twitter will enable organizations to identify which other Twitter accounts are actually associated with them"
65,2022-11-13 17:16:52+00:00,elonmusk,Twitter feels increasingly alive
66,2022-11-12 23:31:02+00:00,elonmusk,Order at https://t.co/Q1VvqV5G0i! https://t.co/Ehca6KRk3v
67,2022-11-12 07:36:39+00:00,elonmusk,🪦🤖
68,2022-11-12 07:04:19+00:00,elonmusk,Twitter is
69,2022-11-12 06:14:13+00:00,elonmusk,FTX meltdown/ransack being tracked in real-time on Twitter
70,2022-11-11 17:30:16+00:00,elonmusk,"As Twitter pursues the goal of elevating citizen journalism, media elite will try everything to stop that from happening"
71,2022-11-11 16:14:45+00:00,elonmusk,Twitter HQ is great (this is a real pic) https://t.co/qjfOQCr533
72,2022-11-11 07:30:42+00:00,elonmusk,Quite the day!
73,2022-11-11 01:51:49+00:00,elonmusk,"Going forward, accounts engaged in parody must include “parody” in their name, not just in bio"
74,2022-11-10 19:15:51+00:00,elonmusk,Usage of Twitter continues to rise. One thing is for sure: it isn’t boring!
75,2022-11-10 17:17:22+00:00,elonmusk,I love when people complain about Twitter … on Twitter 🤣🤣
76,2022-11-10 16:41:54+00:00,elonmusk,https://t.co/FxdcXa1I7i
77,2022-11-10 07:47:53+00:00,elonmusk,Are you seeing far fewer bots/scams/spam?
78,2022-11-09 16:44:47+00:00,elonmusk,"Please note that Twitter will do lots of dumb things in coming months. 

We will keep what works &amp; change what doesn’t."
79,2022-11-09 16:40:53+00:00,elonmusk,Complaint hotline operator online! Please mention your complaints below.
80,2022-11-08 15:32:13+00:00,elonmusk,"Twitter is the worst!
But also the best."
81,2022-11-08 01:28:07+00:00,elonmusk,https://t.co/3t5ahItE5z
82,2022-11-08 00:57:29+00:00,elonmusk,Twitter usage is at an all-time high lol
83,2022-11-07 20:50:47+00:00,elonmusk,"To be clear, my historical party affiliation has been Independent, with an actual voting history of entirely Democrat until this year"
84,2022-11-07 15:22:16+00:00,elonmusk,"To independent-minded voters:

Shared power curbs the worst excesses of both parties, therefore I recommend voting for a Republican Congress, given that the Presidency is Democratic."
85,2022-11-07 14:52:44+00:00,elonmusk,How times have changed https://t.co/gCxUkZ4kZC
86,2022-11-07 13:22:14+00:00,elonmusk,"Twitter rules will evolve over time, but they’re currently the following: https://t.co/Ut1tXuefso"
87,2022-11-07 00:30:30+00:00,elonmusk,"My commitment to free speech extends even to not banning the account following my plane, even though that is a direct personal safety risk"
88,2022-11-07 00:25:19+00:00,elonmusk,Twitter needs to become by far the most accurate source of information about the world. That’s our mission.
89,2022-11-06 23:43:30+00:00,elonmusk,Widespread verification will democratize journalism &amp; empower the voice of the people
90,2022-11-06 22:53:42+00:00,elonmusk,"Going forward, any Twitter handles engaging in impersonation without clearly specifying “parody” will be permanently suspended"
91,2022-11-05 22:31:00+00:00,elonmusk,Search within Twitter reminds me of Infoseek in ‘98! That will also get a lot better pronto.
92,2022-11-05 21:39:56+00:00,elonmusk,"Twitter will soon add ability to attach long-form text to tweets, ending absurdity of notepad screenshots"
93,2022-11-05 20:30:08+00:00,elonmusk,This rocks https://t.co/sB1sL0Hdrv
94,2022-11-05 17:26:42+00:00,elonmusk,https://t.co/4UQlClBSct
95,2022-11-05 04:30:55+00:00,elonmusk,"Trash me all day, but it’ll cost $8"
96,2022-11-05 03:45:01+00:00,elonmusk,⚡️⚡️⚡️ Power to the People ⚡️⚡️⚡️
97,2022-11-04 23:14:54+00:00,elonmusk,"Regarding Twitter’s reduction in force, unfortunately there is no choice when the company is losing over $4M/day.

Everyone exited was offered 3 months of severance, which is 50% more than legally required."
98,2022-11-04 22:54:50+00:00,elonmusk,"Again, to be crystal clear, Twitter’s strong commitment to content moderation remains absolutely unchanged.

In fact, we have actually seen hateful speech at times this week decline *below* our prior norms, contrary to what you may read in the press."
99,2022-11-04 22:38:28+00:00,elonmusk,Excellent summary of Twitter’s Trust &amp; Safety from the head of the team https://t.co/sJ1MBf9Mub
100,2022-11-04 14:28:20+00:00,elonmusk,"Twitter has had a massive drop in revenue, due to activist groups pressuring advertisers, even though nothing has changed with content moderation and we did everything we could to appease the activists.

Extremely messed up! They’re trying to destroy free speech in America."
101,2022-11-04 05:10:27+00:00,elonmusk,Tiny talk is talk so small it feels like it’s coming from your own mind
102,2022-11-04 04:45:15+00:00,elonmusk,Why is small talk even legal!?
103,2022-11-03 08:35:20+00:00,elonmusk,A neuron doesn’t realize it’s a neuron
104,2022-11-03 08:13:41+00:00,elonmusk,"Because it consists of billions of bidirectional interactions per day, Twitter can be thought of as a collective, cybernetic super-intelligence"
105,2022-11-03 06:48:24+00:00,elonmusk,🎯 https://t.co/W55sUbxYed
106,2022-11-02 21:43:59+00:00,elonmusk,🤔 https://t.co/XuJdfMTTi1
107,2022-11-02 21:04:56+00:00,elonmusk,https://t.co/BYOBGBHOUA
108,2022-11-02 20:09:41+00:00,elonmusk,Advertisers should support:
109,2022-11-02 19:47:39+00:00,elonmusk,https://t.co/kGncG7Hs3M
110,2022-11-02 18:42:40+00:00,elonmusk,Twitter is simply the most interesting place on the Internet. That’s why you’re reading this tweet right now.
111,2022-11-02 18:27:00+00:00,elonmusk,Being attacked by both right &amp; left simultaneously is a good sign
112,2022-11-02 17:05:26+00:00,elonmusk,you get what you pay for
113,2022-11-02 02:23:07+00:00,elonmusk,Twitter speaks to the inner masochist in all of us
114,2022-11-02 02:06:16+00:00,elonmusk,"To all complainers, please continue complaining, but it will cost $8"
115,2022-11-01 19:15:19+00:00,elonmusk,https://t.co/icg6e35LOe
